;rms_mean_(µV);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_biceps_brachii_(right)_(µV);rms_triceps_brachii_lateral_(right)_(µV);angles_window;angles_biceps_brachii_(right)_triceps_brachii_lateral_(right)
;;;;;;98;;;72.4
;;;;;;99;;;82.52
;;;;;;100;;;92.82
;;;;;;101;;;98.76
;;;;;;102;;;98.32
;;;;;;103;;;96.44
;;;;;;104;;;95.52
;;;;;;105;;;94.5
;;;;;;106;;;91.99
;;;;;;107;;;87.47
;;;;;;108;;;81.47
;;;;;;109;;;73.92
;;;;;;110;;;63.47
;;;;;;111;;;50.04
;;;;;;112;;;34.21
;;;;;;113;;;16.26
;;;;;;114;;;-4.13
;;;;;;115;;;-24.55
;;;;;;116;;;-41.96
;;;;;;117;;;-53.78
;;;;;;118;;;-59
;;;;;;119;;;-60.38
;;;;;;120;;;-59.76
;;;;;;121;;;-57.02
;;;;;;122;;;-50.54
;;;;;;123;;;-38.65
;;;;;;124;;;-22.39
;;;;;;125;;;-4.82
;;;;;;126;;;12.8
;;;;;;127;;;30.78
;;;;;;128;;;48.1
;;;;;;129;;;63.16
;;;;;;130;;;75.09
;;;;;;131;;;85.69
;;;;;;132;;;96.55
;;;;;;133;;;104.31
;;;;;;134;;;105.15
;;;;;;135;;;101.3
;;;;;;136;;;97.55
;;;;;;137;;;95.26
;;;;;;138;;;92.82
;;;;;;139;;;88.34
;;;;;;140;;;81.39
;;;;;;141;;;72.1
;;;;;;142;;;60.13
;;;;;;143;;;45.6
;;;;;;144;;;28.36
;;;;;;145;;;10.29
;;;;;;146;;;-7.4
;;;;;;147;;;-25
;;;;;;148;;;-39.47
;;;;;;149;;;-48.8
;;;;;;150;;;-54.19
;;;;;;151;;;-56.87
;;;;;;152;;;-57.51
;;;;;;153;;;-55.88
;;;;;;154;;;-50.92
;;;;;;155;;;-42.08
;;;;;;156;;;-29.54
;;;;;;157;;;-14.58
;;;;;;158;;;1.69
;;;;;;159;;;19.13
;;;;;;160;;;37.11
;;;;;;161;;;54.49
;;;;;;162;;;70.02
;;;;;;163;;;82.9
;;;;;;164;;;94.29
;;;;;;165;;;103.98
;;;;;;166;;;108.12
;;;;;;167;;;106.65
;;;;;;168;;;104.1
;;;;;;169;;;102.15
;;;;;;170;;;99.9
;;;;;;171;;;97.58
;;;;;;172;;;96.02
;;;;;;173;;;95.34
;;;;;;174;;;93.84
;;;;;;175;;;88.31
;;;;;;176;;;76.94
;;;;;;177;;;60.56
;;;;;;178;;;41.15
;;;;;;179;;;19.62
;;;;;;180;;;-4.6
;;;;;;181;;;-27.22
;;;;;;182;;;-42.74
;;;;;;183;;;-50.34
;;;;;;184;;;-50.67
;;;;;;185;;;-45.53
;;;;;;186;;;-36
;;;;;;187;;;-22.26
;;;;;;188;;;-6.91
;;;;;;189;;;8.51
;;;;;;190;;;24.33
;;;;;;191;;;40.15
;;;;;;192;;;55.15
;;;;;;193;;;69.82
;;;;;;194;;;85.7
;;;;;;195;;;96.64
;;;;;;196;;;97.29
;;;;;;197;;;94.87
;;;;;;198;;;94.63
;;;;;;199;;;94.02
;;;;;;200;;;91.27
;;;;;;201;;;85.93
;;;;;;202;;;77.67
;;;;;;203;;;66.66
;;;;;;204;;;52.59
;;;;;;205;;;35.81
;;;;;;206;;;16.07
;;;;;;207;;;-5.58
;;;;;;208;;;-24.62
;;;;;;209;;;-38.92
;;;;;;210;;;-48.35
;;;;;;211;;;-51.97
;;;;;;212;;;-50.97
;;;;;;213;;;-46.94
;;;;;;214;;;-39.73
;;;;;;215;;;-28.59
;;;;;;216;;;-14.74
;;;;;;217;;;0.24
;;;;;;218;;;16.51
;;;;;;219;;;33.67
;;;;;;220;;;50.18
;;;;;;221;;;65.54
;;;;;;222;;;79.96
;;;;;;223;;;95.15
;;;;;;224;;;104.2
;;;;;;225;;;102.06
;;;;;;226;;;97.98
;;;;;;227;;;96.65
;;;;;;228;;;94.51
;;;;;;229;;;88.67
;;;;;;230;;;79.88
;;;;;;231;;;69
;;;;;;232;;;56.11
;;;;;;233;;;40.87
;;;;;;234;;;22.57
;;;;;;235;;;2.42
;;;;;;236;;;-17.78
;;;;;;237;;;-37.01
;;;;;;238;;;-52.82
;;;;;;239;;;-62.11
;;;;;;240;;;-65.86
;;;;;;241;;;-66.91
;;;;;;242;;;-65.35
;;;;;;243;;;-60.15
;;;;;;244;;;-51
;;;;;;245;;;-37.28
;;;;;;246;;;-19.46
;;;;;;247;;;0.58
;;;;;;248;;;20.97
;;;;;;249;;;38.88
;;;;;;250;;;53.47
;;;;;;251;;;66.12
;;;;;;252;;;78.01
;;;;;;253;;;91.37
;;;;;;254;;;99.95
;;;;;;255;;;97.93
;;;;;;256;;;93.82
;;;;;;257;;;93.82
;;;;;;258;;;95.39
;;;;;;259;;;94.86
;;;;;;260;;;90.77
;;;;;;261;;;83.71
;;;;;;262;;;74.74
;;;;;;263;;;64.43
;;;;;;264;;;51.84
;;;;;;265;;;35.54
;;;;;;266;;;15.23
;;;;;;267;;;-8.52
;;;;;;268;;;-31.58
;;;;;;269;;;-47.22
;;;;;;270;;;-55.67
;;;;;;271;;;-61.19
;;;;;;272;;;-65.24
;;;;;;273;;;-67
;;;;;;274;;;-65.45
;;;;;;275;;;-60.36
;;;;;;276;;;-51.16
;;;;;;277;;;-37.5
;;;;;;278;;;-20.77
;;;;;;279;;;-3.26
;;;;;;280;;;14.38
;;;;;;281;;;31.73
;;;;;;282;;;46.28
;;;;;;283;;;59.28
;;;;;;284;;;74.12
;;;;;;285;;;90.78
;;;;;;286;;;100.1
;;;;;;287;;;97.8
;;;;;;288;;;93.42
;;;;;;289;;;93
;;;;;;290;;;93.99
;;;;;;291;;;91.96
;;;;;;292;;;86.78
;;;;;;293;;;80.9
;;;;;;294;;;74.19
;;;;;;295;;;65.25
;;;;;;296;;;54.07
;;;;;;297;;;40.37
;;;;;;298;;;24.39
;;;;;;299;;;4.48
;;;;;;300;;;-19.72
;;;;;;301;;;-42.88
;;;;;;302;;;-58.81
;;;;;;303;;;-65.89
;;;;;;304;;;-68.18
;;;;;;305;;;-68.83
;;;;;;306;;;-67.48
;;;;;;307;;;-62.7
;;;;;;308;;;-53.46
;;;;;;309;;;-39.19
;;;;;;310;;;-21.24
;;;;;;311;;;-3.33
;;;;;;312;;;13.75
;;;;;;313;;;30.35
;;;;;;314;;;45.07
;;;;;;315;;;57.64
;;;;;;316;;;69.15
;;;;;;317;;;82.97
;;;;;;318;;;94.11
;;;;;;319;;;93.22
;;;;;;320;;;86.62
;;;;;;321;;;82.74
;;;;;;322;;;80.12
;;;;;;323;;;77.1
;;;;;;324;;;72.2
;;;;;;325;;;64.21
;;;;;;326;;;52.7
;;;;;;327;;;36.88
;;;;;;328;;;15.94
;;;;;;329;;;-8.27
;;;;;;330;;;-30.65
;;;;;;331;;;-47.32
;;;;;;332;;;-58.82
;;;;;;333;;;-66.81
;;;;;;334;;;-71.06
;;;;;;335;;;-71.86
;;;;;;336;;;-70.23
;;;;;;337;;;-66.89
;;;;;;338;;;-61.99
;;;;;;339;;;-55.28
;;;;;;340;;;-45.69
;;;;;;341;;;-31.84
;;;;;;342;;;-15.33
;;;;;;343;;;1.81
;;;;;;344;;;19.77
;;;;;;345;;;37.75
;;;;;;346;;;54.51
;;;;;;347;;;71.71
;;;;;;348;;;89.44
;;;;;;349;;;96.18
;;;;;;350;;;90.14
;;;;;;351;;;84.52
;;;;;;352;;;83.61
;;;;;;353;;;84.04
;;;;;;354;;;83.2
;;;;;;355;;;81.46
;;;;;;356;;;79.16
;;;;;;357;;;75.43
;;;;;;358;;;69.11
;;;;;;359;;;59.62
;;;;;;360;;;46.83
;;;;;;361;;;30.99
;;;;;;362;;;11.52
;;;;;;363;;;-12.89
;;;;;;364;;;-38.06
;;;;;;365;;;-57.17
;;;;;;366;;;-67.51
;;;;;;367;;;-70.22
;;;;;;368;;;-69.34
;;;;;;369;;;-67.14
;;;;;;370;;;-62.83
;;;;;;371;;;-55.31
;;;;;;372;;;-43.76
;;;;;;373;;;-28.55
;;;;;;374;;;-11.98
;;;;;;375;;;5.55
;;;;;;376;;;23.94
;;;;;;377;;;43.01
;;;;;;378;;;62.57
;;;;;;379;;;78.43
;;;;;;380;;;86.06
;;;;;;381;;;87.64
;;;;;;382;;;87.41
;;;;;;383;;;86.49
;;;;;;384;;;85.92
;;;;;;385;;;85.7
;;;;;;386;;;85.77
;;;;;;387;;;86.03
;;;;;;388;;;86.16
;;;;;;389;;;86.22
;;;;;;390;;;86.22
;;;;;;391;;;86.24
;;;;;;392;;;86.24
;;;;;;393;;;86.23
;;;;;;394;;;86.23
;;;;;;395;;;86.13
;;;;;;396;;;86.01
;;;;;;397;;;85.97
;;;;;;398;;;85.96
;;;;;;399;;;85.82
;;;;;;400;;;85.58
;;;;;;401;;;85.36
;;;;;;402;;;85.28
;;;;;;403;;;85.29
;;;;;;404;;;85.26
